#{"t_start": 1787958908.5660124, "env_id": "None"}
r,l,t
-0.980664,12,395.855878
-1.301987,12,396.790772
-0.312406,12,397.792234
0.73909,12,398.67597
-1.087631,12,399.664572
-0.305285,12,400.62781
-0.380192,12,401.524806
0.313611,12,402.484115
-0.40428,12,403.421833
0.557027,12,404.335605
-0.096849,12,405.556523
-1.190905,12,406.495348
-1.068467,12,407.375378
-0.081847,12,408.38847
0.527433,12,409.30778
-0.094269,12,410.266592
0.114793,12,411.298842
-0.125992,12,412.325114
-1.463453,12,413.259923
-0.079442,12,414.043842
-0.582566,12,414.974571
-0.107422,12,415.931379
-0.507173,12,416.665736
-0.7359,12,417.675659
-0.836568,12,418.570858
-0.805457,12,419.523725
-0.468229,12,420.542985
-2.124722,12,421.519086
-1.015511,12,422.480943
-0.449576,12,423.864227
-0.648281,12,425.106685
-0.543341,12,426.015846
-0.094103,12,427.070045
0.457495,12,427.985616
0.244079,12,428.940207
-0.132437,12,429.911592
-0.4845,12,431.010394
0.179859,12,432.146215
0.476456,12,433.013593
-0.123591,12,433.865848
0.181881,12,434.761473
0.055111,12,435.760762
-0.090072,12,436.594968
-0.40828,12,437.497713
-1.209877,12,438.421278
-0.580141,12,439.395508
-0.388932,12,440.340074
-0.234777,12,441.413008
-0.348202,12,442.217525
-1.240183,12,443.165438
-0.917471,12,444.130752
-0.73208,12,445.0724
-1.300324,12,446.119005
0.864507,12,447.068423
0.016905,12,447.97973
-0.631425,12,448.719234
-0.504509,12,449.852798
-0.250452,12,450.897789
-1.230143,12,451.963287
0.282834,12,452.832854
-0.580328,12,453.806839
-1.35844,12,454.920536
-0.110155,12,455.994334
-0.271557,12,456.883003
0.592267,12,457.777786
-0.619596,12,458.523041
0.875145,12,459.522873
-1.509084,12,460.612906
-0.125575,12,461.675137
0.161884,12,462.528323
0.987893,12,463.437817
-0.498532,12,464.403082
-0.717752,12,465.735919
0.107393,12,466.869209
-0.586364,12,467.821959
-0.89336,12,468.954165
0.10656,12,469.88388
-0.899082,12,470.856069
-0.602021,12,471.726376
-1.57364,12,472.661247
0.310465,12,473.675751
-0.160191,12,474.591438
-0.755852,12,475.391425
-0.841699,12,476.227744
-0.553612,12,477.120348
1.71186,12,478.055081
0.692572,12,479.029813
-0.483827,12,479.960156
-1.400613,12,480.951638
0.378243,12,481.954478
0.676556,12,482.881153
-0.67191,12,483.84324
-0.695726,12,484.761947
0.422836,12,485.656824
-1.055187,12,486.634456
-0.336614,12,487.713933
0.48725,12,488.531399
-0.729739,12,489.419618
-0.875277,12,490.372842
-0.182193,12,491.397234
-0.898893,12,492.484915
-1.474331,12,493.486383
-0.097954,12,494.561536
-0.139564,12,495.565937
-1.149206,12,496.558223
-0.57797,12,497.629427
0.463365,12,498.494057
-0.009092,12,499.661479
0.269925,12,500.561289
0.067507,12,501.527381
0.228023,12,502.512779
-0.486749,12,503.461306
-0.608821,12,504.554558
-0.988461,12,505.796626
-1.520334,12,506.801478
0.364162,12,508.27512
0.541977,12,509.12991
-0.24938,12,510.099959
0.013841,12,511.065578
-0.47123,12,512.139788
-0.471009,12,513.034094
-0.289934,12,514.194981
-0.910998,12,514.988098
-0.438217,12,515.91356
-0.621119,12,517.034323
0.504013,12,517.843887
0.471312,12,518.725721
0.278095,12,519.718303
-0.393642,12,520.712165
-0.448445,12,521.715313
-0.780366,12,522.670221
-0.549135,12,523.819
-0.249413,12,524.803854
-0.523563,12,525.773207
-1.260115,12,526.730663
-5.444918,12,527.593154
-1.435623,12,528.624048
-0.018648,12,529.705282
-0.001826,12,530.618096
-1.468596,12,531.578807
0.927102,12,532.503154
-1.042788,12,533.559891
-1.125032,12,534.709306
0.233949,12,535.686644
-0.848311,12,536.750408
-1.224106,12,537.764019
-0.316819,12,538.715101
-0.81718,12,539.595553
-0.095994,12,540.631881
-1.209038,12,541.654687
-0.802439,12,542.713937
0.832571,12,543.63718
0.410842,12,544.476578
-0.74913,12,545.535569
-0.376904,12,546.574074
-0.658552,12,547.623503
-0.886975,12,548.531509
-0.333543,12,550.093854
-0.614526,12,551.104895
-0.40355,12,551.848926
0.548776,12,552.797421
-0.577876,12,553.762267
-0.559154,12,554.744151
-0.298297,12,555.688903
-0.029624,12,556.635131
0.173627,12,557.507612
0.858773,12,558.302508
-0.658626,12,559.083154
-0.529181,12,560.048271
-1.725728,12,560.936491
-0.001334,12,561.908854
-1.5,12,562.593996
0.173484,12,563.459959
0.180859,12,564.428099
-0.503784,12,565.395139
0.132888,12,566.199
1.112386,12,567.094983
-0.891078,12,568.075309
-1.375152,12,569.10396
1.305734,12,569.967207
-1.957726,12,570.894259
0.288794,12,571.75936
-0.869299,12,572.558238
-0.433752,12,573.544794
-0.98247,12,574.566366
0.673419,12,575.501497
0.00808,12,576.450334
-1.75,12,577.13881
-0.527398,12,578.113065
-0.001787,12,578.840849
-1.318485,12,579.783775
0.631507,12,580.796734
0.121223,12,581.97565
-0.847555,12,582.785661
0.143414,12,583.737247
-0.302061,12,584.578197
-0.429754,12,585.54772
-0.414615,12,586.534137
-0.241672,12,587.441556
0.190568,12,588.348609
-0.442552,12,589.926073
-0.682101,12,590.734953
0.538718,12,591.785514
0.773197,12,592.769814
0.583204,12,593.762072
1.097816,12,594.648627
