local_date,local_time,day_type_id,total_carriageway_flow,vehicles_less_5_2m,vehicles_5_21m_6_6m,vehicles_6_61m_11_6m,vehicles_above_11_6m,speed_value,quality_index,network_link_id,ntis_model_version,timestamp,vehicle_count,vehicle_length_total,pct_vehicles_less_5_2m,pct_vehicles_5_21m_6_6m,pct_vehicles_6_61m_11_6m,pct_vehicles_above_11_6m,hour,minute,day_of_week,day_of_month,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,vehicle_count_change,speed_change,vehicle_count_rolling_mean_1h,vehicle_count_rolling_std_1h,speed_rolling_mean_1h,density_proxy,queue_proxy
2026-03-16,22:29:00,0.0,101.0,96.0,3.0,1.0,1.0,102.39,15.0,118021802.0,23.0,2026-03-16 22:29:00,101.0,101.0,95.04950495049505,2.9702970297029703,0.9900990099009901,0.9900990099009901,22,29,0,16,3,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,-42.0,0.9300000000000068,128.75,18.94509611130635,101.9025,0.09165154264972777,0.0
2026-03-16,22:44:00,0.0,89.0,86.0,2.0,0.0,1.0,103.15,15.0,118021802.0,23.0,2026-03-16 22:44:00,89.0,89.0,96.62921348314607,2.247191011235955,0.0,1.1235955056179776,22,44,0,16,3,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,-12.0,0.7600000000000051,116.5,25.632011235951975,102.2475,0.08076225045372051,0.0
2026-03-16,22:59:00,0.0,66.0,57.0,3.0,2.0,4.0,97.21,15.0,118021802.0,23.0,2026-03-16 22:59:00,66.0,66.0,86.36363636363636,4.545454545454546,3.0303030303030303,6.0606060606060606,22,59,0,16,3,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,-23.0,-5.940000000000012,99.75,32.28389691471537,101.05250000000001,0.05989110707803993,0.0
2026-03-16,23:14:00,0.0,58.0,56.0,2.0,0.0,0.0,103.61,15.0,118021802.0,23.0,2026-03-16 23:14:00,58.0,58.0,96.55172413793103,3.4482758620689653,0.0,0.0,23,14,0,16,3,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,-8.0,6.400000000000006,78.5,19.941581348193903,101.58999999999999,0.05263157894736842,0.0
2026-03-16,23:29:00,0.0,64.0,62.0,1.0,1.0,0.0,102.42,15.0,118021802.0,23.0,2026-03-16 23:29:00,64.0,64.0,96.875,1.5625,1.5625,0.0,23,29,0,16,3,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,6.0,-1.1899999999999977,69.25,13.598406769421,101.5975,0.05807622504537205,0.0
2026-03-16,23:44:00,0.0,49.0,46.0,2.0,0.0,1.0,105.04,15.0,118021802.0,23.0,2026-03-16 23:44:00,49.0,49.0,93.87755102040816,4.081632653061225,0.0,2.0408163265306123,23,44,0,16,3,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,-15.0,2.6200000000000045,59.25,7.632168761234793,102.07000000000001,0.04446460980036298,0.0
2026-03-16,23:59:00,0.0,28.0,26.0,0.0,0.0,2.0,97.81,15.0,118021802.0,23.0,2026-03-16 23:59:00,28.0,28.0,92.85714285714286,0.0,0.0,7.142857142857142,23,59,0,16,3,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,-21.0,-7.230000000000004,49.75,15.755951256587723,102.22000000000001,0.025408348457350273,0.0
2026-03-17,00:14:00,1.0,42.0,39.0,1.0,2.0,0.0,100.81,15.0,118021802.0,23.0,2026-03-17 00:14:00,42.0,42.0,92.85714285714286,2.380952380952381,4.761904761904762,0.0,0,14,1,17,3,0,0.0,1.0,0.7818314824680298,0.6234898018587336,14.0,3.0,45.75,14.974979131870878,101.52000000000001,0.038112522686025406,0.0
2026-03-17,00:29:00,1.0,35.0,28.0,3.0,2.0,2.0,98.13,15.0,118021802.0,23.0,2026-03-17 00:29:00,35.0,35.0,80.0,8.571428571428571,5.714285714285714,5.714285714285714,0,29,1,17,3,0,0.0,1.0,0.7818314824680298,0.6234898018587336,-7.0,-2.680000000000007,38.5,9.03696114114888,100.4475,0.03176043557168784,0.0
2026-03-17,00:44:00,1.0,23.0,20.0,0.0,1.0,2.0,97.8,15.0,118021802.0,23.0,2026-03-17 00:44:00,23.0,23.0,86.95652173913044,0.0,4.3478260869565215,8.695652173913043,0,44,1,17,3,0,0.0,1.0,0.7818314824680298,0.6234898018587336,-12.0,-0.3299999999999983,32.0,8.286535263102119,98.63749999999999,0.020871143375680582,0.0
2026-03-17,00:59:00,1.0,25.0,25.0,0.0,0.0,0.0,105.5,15.0,118021802.0,23.0,2026-03-17 00:59:00,25.0,25.0,100.0,0.0,0.0,0.0,0,59,1,17,3,0,0.0,1.0,0.7818314824680298,0.6234898018587336,2.0,7.700000000000003,31.25,8.883505314155832,100.56,0.022686025408348458,0.0
2026-03-17,01:14:00,1.0,27.0,25.0,1.0,0.0,1.0,102.36,15.0,118021802.0,23.0,2026-03-17 01:14:00,27.0,27.0,92.5925925925926,3.7037037037037033,0.0,3.7037037037037033,1,14,1,17,3,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,2.0,-3.1400000000000006,27.5,5.259911279350146,100.94749999999999,0.024500907441016333,0.0
2026-03-17,01:29:00,1.0,20.0,17.0,0.0,1.0,2.0,97.73,15.0,118021802.0,23.0,2026-03-17 01:29:00,20.0,20.0,85.0,0.0,5.0,10.0,1,29,1,17,3,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,-7.0,-4.6299999999999955,23.75,2.9860788111894996,100.8475,0.018148820326678767,0.0
2026-03-17,01:44:00,1.0,16.0,14.0,1.0,1.0,0.0,101.45,15.0,118021802.0,23.0,2026-03-17 01:44:00,16.0,16.0,87.5,6.25,6.25,0.0,1,44,1,17,3,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,-4.0,3.719999999999999,22.0,4.9665548085805815,101.76,0.014519056261343012,0.0
2026-03-17,01:59:00,1.0,17.0,13.0,0.0,1.0,3.0,94.31,15.0,118021802.0,23.0,2026-03-17 01:59:00,17.0,17.0,76.47058823529412,0.0,5.88235294117647,17.647058823529413,1,59,1,17,3,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,1.0,-7.140000000000001,20.0,4.9665548085805815,98.96249999999999,0.015426497277676952,0.0
2026-03-17,02:14:00,1.0,17.0,12.0,4.0,0.0,1.0,93.7,15.0,118021802.0,23.0,2026-03-17 02:14:00,17.0,17.0,70.58823529411765,23.52941176470588,0.0,5.88235294117647,2,14,1,17,3,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,-0.6099999999999994,17.5,1.7320508075597065,96.79750000000001,0.015426497277676952,0.0
2026-03-17,02:29:00,1.0,8.0,8.0,0.0,0.0,0.0,95.63,15.0,118021802.0,23.0,2026-03-17 02:29:00,8.0,8.0,100.0,0.0,0.0,0.0,2,29,1,17,3,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-9.0,1.9299999999999926,14.5,4.35889894353703,96.27250000000001,0.007259528130671506,0.0
2026-03-17,02:44:00,1.0,13.0,10.0,0.0,1.0,2.0,100.06,15.0,118021802.0,23.0,2026-03-17 02:44:00,13.0,13.0,76.92307692307693,0.0,7.6923076923076925,15.384615384615385,2,44,1,17,3,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,5.0,4.430000000000007,13.75,4.272001872655048,95.92500000000001,0.011796733212341199,0.0
2026-03-17,02:59:00,1.0,10.0,9.0,1.0,0.0,0.0,94.39,15.0,118021802.0,23.0,2026-03-17 02:59:00,10.0,10.0,90.0,10.0,0.0,0.0,2,59,1,17,3,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-3.0,-5.670000000000002,12.0,3.915780041486187,95.94500000000001,0.009074410163339383,0.0
2026-03-17,03:14:00,1.0,17.0,12.0,1.0,1.0,3.0,92.17,15.0,118021802.0,23.0,2026-03-17 03:14:00,17.0,17.0,70.58823529411765,5.88235294117647,5.88235294117647,17.647058823529413,3,14,1,17,3,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,7.0,-2.219999999999999,12.0,3.915780041486187,95.5625,0.015426497277676952,0.0
2026-03-17,03:29:00,1.0,15.0,13.0,0.0,1.0,1.0,92.6,15.0,118021802.0,23.0,2026-03-17 03:29:00,15.0,15.0,86.66666666666667,0.0,6.666666666666667,6.666666666666667,3,29,1,17,3,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,-2.0,0.4299999999999926,13.75,2.9860788111895005,94.805,0.013611615245009074,0.0
2026-03-17,03:44:00,1.0,5.0,3.0,0.0,1.0,1.0,87.17,15.0,118021802.0,23.0,2026-03-17 03:44:00,5.0,5.0,60.0,0.0,20.0,20.0,3,44,1,17,3,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,-10.0,-5.429999999999993,11.75,5.377421934964272,91.5825,0.004537205081669692,0.0
2026-03-17,03:59:00,1.0,17.0,10.0,3.0,0.0,4.0,105.27,15.0,118021802.0,23.0,2026-03-17 03:59:00,17.0,17.0,58.82352941176471,17.647058823529413,0.0,23.52941176470588,3,59,1,17,3,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,12.0,18.099999999999994,13.5,5.744562646535264,94.3025,0.015426497277676952,0.0
2026-03-17,04:14:00,1.0,19.0,14.0,3.0,2.0,0.0,95.81,15.0,118021802.0,23.0,2026-03-17 04:14:00,19.0,19.0,73.68421052631578,15.789473684210526,10.526315789473683,0.0,4,14,1,17,3,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,2.0,-9.459999999999994,14.0,6.218252702056656,95.21249999999999,0.017241379310344827,0.0
2026-03-17,04:29:00,1.0,15.0,8.0,3.0,2.0,2.0,89.79,15.0,118021802.0,23.0,2026-03-17 04:29:00,15.0,15.0,53.333333333333336,20.0,13.333333333333334,13.333333333333334,4,29,1,17,3,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-4.0,-6.019999999999996,14.0,6.218252702056656,94.51,0.013611615245009074,0.0
2026-03-17,04:44:00,1.0,17.0,13.0,0.0,2.0,2.0,102.71,15.0,118021802.0,23.0,2026-03-17 04:44:00,17.0,17.0,76.47058823529412,0.0,11.76470588235294,11.76470588235294,4,44,1,17,3,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,2.0,12.919999999999987,17.0,1.6329931618457258,98.395,0.015426497277676952,0.0
2026-03-17,04:59:00,1.0,41.0,26.0,2.0,5.0,8.0,94.43,15.0,118021802.0,23.0,2026-03-17 04:59:00,41.0,41.0,63.41463414634146,4.878048780487805,12.195121951219512,19.51219512195122,4,59,1,17,3,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,24.0,-8.279999999999987,23.0,12.110601416388656,95.685,0.03720508166969147,0.0
2026-03-17,05:14:00,1.0,46.0,34.0,2.0,5.0,5.0,101.75,15.0,118021802.0,23.0,2026-03-17 05:14:00,46.0,46.0,73.91304347826086,4.3478260869565215,10.869565217391305,10.869565217391305,5,14,1,17,3,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,5.0,7.319999999999993,29.75,16.028620235897876,97.17,0.041742286751361164,0.0
2026-03-17,05:29:00,1.0,67.0,52.0,4.0,6.0,5.0,95.57,15.0,118021802.0,23.0,2026-03-17 05:29:00,67.0,67.0,77.61194029850746,5.970149253731343,8.955223880597014,7.462686567164178,5,29,1,17,3,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,21.0,-6.180000000000007,42.75,20.532494571612617,98.615,0.060798548094373864,0.0
2026-03-17,05:44:00,1.0,71.0,49.0,6.0,5.0,11.0,97.38,15.0,118021802.0,23.0,2026-03-17 05:44:00,71.0,71.0,69.01408450704226,8.450704225352112,7.042253521126761,15.492957746478872,5,44,1,17,3,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,4.0,1.8100000000000023,56.25,14.952703211570194,97.2825,0.06442831215970962,0.0
2026-03-17,05:59:00,1.0,104.0,81.0,4.0,9.0,10.0,99.57,15.0,118021802.0,23.0,2026-03-17 05:59:00,104.0,104.0,77.88461538461539,3.8461538461538463,8.653846153846153,9.615384615384617,5,59,1,17,3,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,33.0,2.1899999999999977,72.0,23.986107090007366,98.5675,0.09437386569872959,0.0
2026-03-17,06:14:00,1.0,152.0,120.0,9.0,6.0,17.0,100.47,15.0,118021802.0,23.0,2026-03-17 06:14:00,152.0,152.0,78.94736842105263,5.921052631578947,3.9473684210526314,11.18421052631579,6,14,1,17,3,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,48.0,0.9000000000000057,98.5,39.33192087859386,98.2475,0.13793103448275862,0.0
2026-03-17,06:29:00,1.0,227.0,181.0,17.0,11.0,18.0,98.58,15.0,118021802.0,23.0,2026-03-17 06:29:00,227.0,227.0,79.73568281938326,7.488986784140969,4.845814977973569,7.929515418502203,6,29,1,17,3,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,75.0,-1.8900000000000006,138.5,67.72739475278794,99.0,0.20598911070780399,0.0
2026-03-17,06:44:00,1.0,304.0,254.0,17.0,14.0,19.0,99.41,15.0,118021802.0,23.0,2026-03-17 06:44:00,304.0,304.0,83.55263157894737,5.592105263157895,4.605263157894736,6.25,6,44,1,17,3,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,77.0,0.8299999999999983,196.75,87.60279675900746,99.5075,0.27586206896551724,0.0
2026-03-17,06:59:00,1.0,382.0,309.0,27.0,21.0,25.0,98.57,15.0,118021802.0,23.0,2026-03-17 06:59:00,382.0,382.0,80.89005235602095,7.068062827225131,5.49738219895288,6.544502617801047,6,59,1,17,3,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,78.0,-0.8400000000000034,266.25,99.02314544253431,99.2575,0.3466424682395644,0.0
2026-03-17,07:14:00,1.0,500.0,433.0,26.0,21.0,20.0,96.93,15.0,118021802.0,23.0,2026-03-17 07:14:00,500.0,500.0,86.6,5.2,4.2,4.0,7,14,1,17,3,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,118.0,-1.6399999999999864,353.25,116.51430527335819,98.37249999999999,0.4537205081669691,0.0
2026-03-17,07:29:00,1.0,607.0,535.0,40.0,22.0,10.0,99.87,15.0,118021802.0,23.0,2026-03-17 07:29:00,607.0,607.0,88.13838550247117,6.589785831960461,3.6243822075782535,1.6474464579901154,7,29,1,17,3,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,107.0,2.9399999999999977,448.25,133.01221748395886,98.695,0.5508166969147006,0.0
2026-03-17,07:44:00,1.0,723.0,632.0,58.0,14.0,19.0,93.18,15.0,118021802.0,23.0,2026-03-17 07:44:00,723.0,723.0,87.41355463347165,8.022130013831259,1.9363762102351314,2.627939142461964,7,44,1,17,3,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,116.0,-6.689999999999998,553.0,145.90636266683725,97.1375,0.6560798548094374,216.9
2026-03-17,07:59:00,1.0,704.0,627.0,46.0,24.0,7.0,93.66,15.0,118021802.0,23.0,2026-03-17 07:59:00,704.0,704.0,89.0625,6.534090909090909,3.4090909090909087,0.9943181818181818,7,59,1,17,3,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-19.0,0.47999999999998977,633.5,102.47763983751108,95.91000000000001,0.6388384754990926,211.2
